="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)"
="",="firststage",="firststage_1",="firststage_2",="firststage_3",="firststage_4",="firststage_5",="firststage_6",="firststage_7",="firststage_8",="firststage_9",="firststage_10",="firststage_11",="firststage_12",="firststage_13",="firststage_14",="firststage_15",="firststage_16",="firststage_17",="firststage_18",="firststage_19",="firststage_20",="firststage_21",="firststage_22",="firststage_23",="firststage_24",="firststage_25",="firststage_26",="firststage_27",="firststage_28",="firststage_29",="firststage_30",="firststage_31",="firststage_32",="firststage_33",="firststage_34",="firststage_35",="firststage_36",="firststage_37",="firststage_38",="firststage_39",="firststage_40"
="",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b"
="l25bw",="0.006",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="l30bw",="-0.004",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="l35bw",="-0.002",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="l40bw",="0.004",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="l45bw",="0.004",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="l50bw",="-0.001",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="1990.year",="0.000",="0.013***",="0.017***",="0.017***",="0.018***",="0.016***",="0.011***",="0.007*",="0.004",="0.002",="-0.001",="-0.004",="-0.007*",="-0.006*",="-0.004",="-0.010**",="-0.016***",="-0.015***",="0.000",="0.000",="0.000",="-0.018***",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",="",="0.000",="",="",="",="",="",="",="",="",=""
="2000.year",="0.021***",="0.046***",="0.049***",="0.050***",="0.051***",="0.052***",="0.051***",="0.050***",="0.049***",="0.046***",="0.041***",="0.036***",="0.037***",="0.038***",="0.040***",="0.034***",="0.025***",="0.023***",="0.033***",="0.032***",="0.029***",="0.009**",="0.025***",="0.025***",="0.027***",="0.023***",="0.018***",="0.019***",="0.000",="0.000",="0.000",="0.017***",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",=""
