="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)",="(32)",="(33)",="(34)",="(35)",="(36)",="(37)",="(38)",="(39)",="(40)",="(41)",="(42)",="(43)",="(44)",="(45)",="(46)",="(47)",="(48)",="(49)",="(50)",="(51)",="(52)",="(53)",="(54)",="(55)",="(56)",="(57)",="(58)",="(59)",="(60)",="(61)",="(62)",="(63)",="(64)",="(65)",="(66)",="(67)",="(68)",="(69)",="(70)",="(71)",="(72)",="(73)",="(74)",="(75)",="(76)",="(77)",="(78)",="(79)",="(80)",="(81)",="(82)",="(83)",="(84)",="(85)",="(86)",="(87)",="(88)",="(89)",="(90)",="(91)",="(92)",="(93)",="(94)",="(95)",="(96)",="(97)",="(98)",="(99)",="(100)",="(101)",="(102)",="(103)",="(104)",="(105)",="(106)",="(107)",="(108)",="(109)",="(110)",="(111)",="(112)",="(113)",="(114)",="(115)",="(116)",="(117)",="(118)",="(119)",="(120)",="(121)",="(122)",="(123)",="(124)",="(125)",="(126)",="(127)",="(128)",="(129)",="(130)",="(131)",="(132)",="(133)",="(134)",="(135)",="(136)",="(137)",="(138)",="(139)",="(140)",="(141)",="(142)",="(143)",="(144)",="(145)",="(146)",="(147)",="(148)",="(149)",="(150)"
="",="model_5yr_1_1",="model_2yr_1_1",="model_1yr_1_1",="model_5yr_1_2",="model_2yr_1_2",="model_1yr_1_2",="model_5yr_1_3",="model_2yr_1_3",="model_1yr_1_3",="model_5yr_1_4",="model_2yr_1_4",="model_1yr_1_4",="model_5yr_1_5",="model_2yr_1_5",="model_1yr_1_5",="model_5yr_1_6",="model_2yr_1_6",="model_1yr_1_6",="model_5yr_1_7",="model_2yr_1_7",="model_1yr_1_7",="model_5yr_1_8",="model_2yr_1_8",="model_1yr_1_8",="model_5yr_1_9",="model_2yr_1_9",="model_1yr_1_9",="model_5yr_1_10",="model_2yr_1_10",="model_1yr_1_10",="model_5yr_2_1",="model_2yr_2_1",="model_1yr_2_1",="model_5yr_2_2",="model_2yr_2_2",="model_1yr_2_2",="model_5yr_2_3",="model_2yr_2_3",="model_1yr_2_3",="model_5yr_2_4",="model_2yr_2_4",="model_1yr_2_4",="model_5yr_2_5",="model_2yr_2_5",="model_1yr_2_5",="model_5yr_2_6",="model_2yr_2_6",="model_1yr_2_6",="model_5yr_2_7",="model_2yr_2_7",="model_1yr_2_7",="model_5yr_2_8",="model_2yr_2_8",="model_1yr_2_8",="model_5yr_2_9",="model_2yr_2_9",="model_1yr_2_9",="model_5yr_2_10",="model_2yr_2_10",="model_1yr_2_10",="model_5yr_3_1",="model_2yr_3_1",="model_1yr_3_1",="model_5yr_3_2",="model_2yr_3_2",="model_1yr_3_2",="model_5yr_3_3",="model_2yr_3_3",="model_1yr_3_3",="model_5yr_3_4",="model_2yr_3_4",="model_1yr_3_4",="model_5yr_3_5",="model_2yr_3_5",="model_1yr_3_5",="model_5yr_3_6",="model_2yr_3_6",="model_1yr_3_6",="model_5yr_3_7",="model_2yr_3_7",="model_1yr_3_7",="model_5yr_3_8",="model_2yr_3_8",="model_1yr_3_8",="model_5yr_3_9",="model_2yr_3_9",="model_1yr_3_9",="model_5yr_3_10",="model_2yr_3_10",="model_1yr_3_10",="model_5yr_4_1",="model_2yr_4_1",="model_1yr_4_1",="model_5yr_4_2",="model_2yr_4_2",="model_1yr_4_2",="model_5yr_4_3",="model_2yr_4_3",="model_1yr_4_3",="model_5yr_4_4",="model_2yr_4_4",="model_1yr_4_4",="model_5yr_4_5",="model_2yr_4_5",="model_1yr_4_5",="model_5yr_4_6",="model_2yr_4_6",="model_1yr_4_6",="model_5yr_4_7",="model_2yr_4_7",="model_1yr_4_7",="model_5yr_4_8",="model_2yr_4_8",="model_1yr_4_8",="model_5yr_4_9",="model_2yr_4_9",="model_1yr_4_9",="model_5yr_4_10",="model_2yr_4_10",="model_1yr_4_10",="model_5yr_5_1",="model_2yr_5_1",="model_1yr_5_1",="model_5yr_5_2",="model_2yr_5_2",="model_1yr_5_2",="model_5yr_5_3",="model_2yr_5_3",="model_1yr_5_3",="model_5yr_5_4",="model_2yr_5_4",="model_1yr_5_4",="model_5yr_5_5",="model_2yr_5_5",="model_1yr_5_5",="model_5yr_5_6",="model_2yr_5_6",="model_1yr_5_6",="model_5yr_5_7",="model_2yr_5_7",="model_1yr_5_7",="model_5yr_5_8",="model_2yr_5_8",="model_1yr_5_8",="model_5yr_5_9",="model_2yr_5_9",="model_1yr_5_9",="model_5yr_5_10",="model_2yr_5_10",="model_1yr_5_10"
="",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b",="b"
="L.own",="-5.715",="-4.382",="-4.100**",="-12.260*",="-3.249",="-2.478*",="-9.834*",="-3.473*",="-2.185",="-6.633",="-2.476",="-1.682",="-8.306",="-2.388",="-1.645",="-10.363*",="-1.703",="-0.828",="-6.417",="0.673",="0.427",="-1.885",="1.770",="0.602",="2.145",="1.823",="-0.233",="4.208",="1.258",="-0.546",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="L2.own",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-4.643",="-2.540",="-1.911",="-10.171",="-4.278",="-4.183**",="-8.448**",="-2.730",="-1.585",="-6.519*",="-1.871",="-0.937",="-5.197",="-1.524",="-0.937",="-4.930",="-0.627",="-0.117",="-4.659",="1.548",="1.347",="-1.091",="3.514",="2.181",="2.460",="3.612",="1.552",="3.622",="1.890",="0.412",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="L3.own",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-4.991",="-4.118",="-2.079",="-6.483",="-3.101",="-2.187",="-12.821**",="-5.710*",="-3.702*",="-5.582*",="-1.654",="-0.723",="-4.051",="-0.984",="-0.530",="-1.441",="-0.120",="0.453",="-1.968",="1.138",="0.789",="-2.272",="3.180",="1.244",="2.137",="4.729*",="1.305",="4.500",="3.115",="0.455",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="L4.own",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="83.409",="-3.513",="0.346",="-5.094",="-2.541",="-1.378",="-4.624",="-2.170",="-0.707",="-10.812*",="-6.202*",="-1.427",="-3.698",="-1.084",="-0.534",="-1.736",="-0.343",="-0.005",="0.432",="1.380",="0.640",="0.202",="1.362",="0.327",="2.376",="2.415",="0.419",="5.480",="2.340",="0.163",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="L5.own",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-21.254",="16.521",="-3.400",="-2.085",="-1.421",="-2.438",="-3.329",="-1.926",="-0.865",="-2.874",="-1.615",="-0.748",="-12.739*",="-0.868",="1.589",="-1.477",="-1.192",="-0.395",="-0.309",="-0.446",="-0.290",="2.237",="0.716",="-0.227",="4.193",="1.021",="-0.273",="5.968",="0.904",="-0.327"
="_cons",="3.141",="2.638",="2.588**",="7.963*",="2.070",="1.636*",="6.419*",="2.220*",="1.446",="4.350",="1.569",="1.117",="5.431",="1.511",="1.093",="6.760*",="1.063",="0.557",="4.210",="-0.489",="-0.265",="1.576",="-1.022",="-0.363",="-1.292",="-1.061",="0.242",="-2.760",="-0.653",="0.468",="3.109",="1.729",="1.283",="6.202",="2.942*",="2.876**",="5.598**",="1.848",="1.077",="4.351*",="1.285",="0.653",="3.496",="1.058",="0.653",="3.324",="0.471",="0.117",="3.148",="-0.953",="-0.842",="0.842",="-2.240",="-1.388",="-1.243",="-2.464",="-1.063",="-2.071",="-1.218",="-0.238",="3.270",="2.712",="1.335",="4.280*",="2.055",="1.424",="8.163**",="3.983*",="2.440*",="3.699*",="1.126",="0.478",="2.708",="0.687",="0.352",="1.019",="0.122",="-0.292",="1.360",="-0.701",="-0.511",="1.556",="-2.036",="-0.808",="-1.297",="-3.050*",="-0.849",="-3.016",="-2.464",="-0.583",="-52.976",="2.248",="-0.219",="3.380",="1.641",="0.909",="3.077",="1.427",="0.480",="6.993*",="4.031*",="0.910",="2.475",="0.718",="0.367",="1.201",="0.234",="0.021",="-0.208",="-0.892",="-0.401",="-0.058",="-0.881",="-0.196",="-1.471",="-1.568",="-0.256",="-3.487",="-1.519",="-0.089",="13.483",="-10.257",="2.033",="1.505",="0.937",="1.593",="2.313",="1.287",="0.579",="2.016",="1.084",="0.502",="8.351*",="0.484",="-1.069",="1.103",="0.808",="0.272",="0.341",="0.321",="0.203",="-1.322",="-0.438",="0.162",="-2.599",="-0.638",="0.192",="-3.758",="-0.561",="0.227"
="r2",="0.686",="0.671",="0.612",="0.748",="0.708",="0.642",="0.763",="0.705",="0.634",="0.780",="0.707",="0.636",="0.772",="0.707",="0.636",="0.759",="0.708",="0.637",="0.780",="0.700",="0.632",="0.813",="0.709",="0.645",="0.813",="0.709",="0.651",="0.809",="0.713",="0.653",="0.797",="0.722",="0.646",="0.767",="0.701",="0.641",="0.809",="0.723",="0.626",="0.815",="0.723",="0.626",="0.818",="0.723",="0.626",="0.818",="0.721",="0.622",="0.818",="0.709",="0.606",="0.819",="0.688",="0.590",="0.828",="0.699",="0.606",="0.824",="0.719",="0.622",="0.764",="0.699",="0.606",="0.807",="0.706",="0.597",="0.742",="0.669",="0.535",="0.814",="0.702",="0.581",="0.815",="0.700",="0.580",="0.812",="0.696",="0.572",="0.813",="0.687",="0.568",="0.814",="0.665",="0.562",="0.801",="0.641",="0.561",="0.828",="0.699",="0.638",="-1.152",="0.668",="0.544",="0.812",="0.664",="0.517",="0.816",="0.656",="0.493",="0.745",="0.584",="0.473",="0.817",="0.655",="0.493",="0.817",="0.652",="0.491",="0.813",="0.639",="0.485",="0.813",="0.639",="0.488",="0.807",="0.627",="0.487",="0.790",="0.628",="0.490",="0.633",="-0.084",="0.456",="0.802",="0.551",="0.494",="0.799",="0.533",="0.427",="0.799",="0.534",="0.427",="0.698",="0.513",="0.382",="0.801",="0.535",="0.425",="0.801",="0.534",="0.425",="0.798",="0.527",="0.424",="0.793",="0.525",="0.425",="0.785",="0.526",="0.425"
