fips,cbsa,metarea,metareano,state_fips,year,asfr_15_19,asfr_20_24,asfr_25_29,asfr_30_34,asfr_35_39,asfr_40_44,gfr_15_44,first_birth_proxy,completed_fertility_proxy
,,0. not identifiable or not in an msa,0,,1940,,,,,,,20.21395,,
,,0. not identifiable or not in an msa,0,,1944,,,,,,,22.707277,,
,,0. not identifiable or not in an msa,0,,1945,,,,,,,21.835386,,
,,0. not identifiable or not in an msa,0,,1946,,,,,,,24.274908,,
,,0. not identifiable or not in an msa,0,,1947,,,,,,,26.136332,,
,,0. not identifiable or not in an msa,0,,1948,,,,,,,24.55224,,
,,0. not identifiable or not in an msa,0,,1949,,,,,,,24.263101,,
,,0. not identifiable or not in an msa,0,,1950,,,,,,,24.480769,,
,,0. not identifiable or not in an msa,0,,1951,,,,,,,25.207235,,
,,0. not identifiable or not in an msa,0,,1952,,,,,,,25.407613,,
,,0. not identifiable or not in an msa,0,,1953,,,,,,,25.354442,,
,,0. not identifiable or not in an msa,0,,1954,,,,,,,25.675742,,
,,0. not identifiable or not in an msa,0,,1955,,,,,,,25.327054,,
,,0. not identifiable or not in an msa,0,,1956,,,,,,,25.499616,,
,,0. not identifiable or not in an msa,0,,1957,,,,,,,25.594666,,
,,0. not identifiable or not in an msa,0,,1958,,,,,,,24.862499,,
,,0. not identifiable or not in an msa,0,,1959,,,,,,,24.61306,,
,,0. not identifiable or not in an msa,0,,1960,,,,,,,23.873497,,
,,0. not identifiable or not in an msa,0,,1961,,,,,,,23.45093,,
,,0. not identifiable or not in an msa,0,,1962,,,,,,,22.664636,,
,,0. not identifiable or not in an msa,0,,1963,,,,,,,22.001291,,
,,0. not identifiable or not in an msa,0,,1964,,,,,,,21.245049,,
,,0. not identifiable or not in an msa,0,,1965,,,,,,,19.587232,,
,,0. not identifiable or not in an msa,0,,1966,,,,,,,18.573961,,
,,0. not identifiable or not in an msa,0,,1967,,,,,,,17.965613,,
,,0. not identifiable or not in an msa,0,,1968,,,,,,,17.591646,,
,,0. not identifiable or not in an msa,0,,1969,,,,,,,17.826233,,
,,0. not identifiable or not in an msa,0,,1970,,,,,,,18.402692,,
,,0. not identifiable or not in an msa,0,,1971,,,,,,,17.452344,,
,,0. not identifiable or not in an msa,0,,1972,,,,,,,15.805425,,
,,0. not identifiable or not in an msa,0,,1973,,,,,,,15.181651,,
,,0. not identifiable or not in an msa,0,,1974,,,,,,,14.953504,,
,,0. not identifiable or not in an msa,0,,1975,,,,,,,14.53181,,
,,0. not identifiable or not in an msa,0,,1976,,,,,,,14.677201,,
,,0. not identifiable or not in an msa,0,,1977,,,,,,,15.025879,,
,,0. not identifiable or not in an msa,0,,1978,,,,,,,14.868794,,
,,0. not identifiable or not in an msa,0,,1979,,,,,,,15.364266,,
