fips,cbsa,metarea,metareano,state_fips,year,unemployment_rate,real_income_pc,college_share,marriage_rate
,,"100. birmingham, al",,AL,1960,0.02129801,,,
,,"100. birmingham, al",,AL,1970,0.01315029,,,
,,"100. birmingham, al",,AL,1980,0.03053222,,,
,,"100. birmingham, al",,AL,1990,0.02774455,,,
,,"100. birmingham, al",,AL,2000,0.02822111,,,
,,"100. birmingham, al",,AL,2005,0.03146318,,,
,,"100. birmingham, al",,AL,2006,0.02864865,,,
,,"100. birmingham, al",,AL,2007,0.02975642,,,
,,"100. birmingham, al",,AL,2008,0.0271262,,,
,,"100. birmingham, al",,AL,2009,0.04429459,,,
,,"100. birmingham, al",,AL,2010,0.04785792,,,
,,"100. birmingham, al",,AL,2011,0.04976443,,,
,,101,,,2003,0.0246996,,,
,,"102. bloomington, in",,IN,1990,0.0305794,,,
,,"102. bloomington, in",,IN,2000,0.02126746,,,
,,"102. bloomington, in",,IN,2005,0.02305159,,,
,,"102. bloomington, in",,IN,2006,0.02566634,,,
,,"102. bloomington, in",,IN,2007,0.0240518,,,
,,"102. bloomington, in",,IN,2008,0.0317029,,,
,,"102. bloomington, in",,IN,2009,0.03321976,,,
,,"102. bloomington, in",,IN,2010,0.04815134,,,
,,"102. bloomington, in",,IN,2011,0.03424056,,,
,,"104. bloomington-normal, il",,IL,1980,0.02314548,,,
,,"104. bloomington-normal, il",,IL,1990,0.02185792,,,
,,"104. bloomington-normal, il",,IL,2000,0.02620871,,,
,,"104. bloomington-normal, il",,IL,2005,0.02622169,,,
,,"104. bloomington-normal, il",,IL,2006,0.0280626,,,
,,"104. bloomington-normal, il",,IL,2007,0.02522422,,,
,,"104. bloomington-normal, il",,IL,2008,0.02453988,,,
,,"104. bloomington-normal, il",,IL,2009,0.03824834,,,
,,"104. bloomington-normal, il",,IL,2010,0.03010034,,,
,,"104. bloomington-normal, il",,IL,2011,0.02991233,,,
,,10420,,,2012,0.04532068,,,
,,10420,,,2013,0.04627083,,,
,,10420,,,2014,0.03440788,,,
,,10420,,,2015,0.02923204,,,
,,10420,,,2016,0.02424341,,,
,,10420,,,2017,0.02598652,,,
,,10580,,,2012,0.03687636,,,
,,10580,,,2013,0.03501401,,,
,,10580,,,2014,0.02719072,,,
,,10580,,,2015,0.02394034,,,
,,10580,,,2016,0.0219625,,,
,,10580,,,2017,0.02159468,,,
,,10740,31,,2012,0.04445436,,,
,,10740,31,,2013,0.03900551,,,
,,10740,31,,2014,0.04300078,,,
,,10740,31,,2015,0.03017039,,,
,,10740,31,,2016,0.02606207,,,
,,10740,31,,2017,0.02575502,,,
,,"108. boise city, id",,ID,1980,0.03021568,,,
,,"108. boise city, id",,ID,1990,0.02053991,,,
,,"108. boise city, id",,ID,2000,0.0216084,,,
,,"108. boise city, id",,ID,2005,0.02433148,,,
,,"108. boise city, id",,ID,2006,0.02169398,,,
,,"108. boise city, id",,ID,2007,0.02516854,,,
,,"108. boise city, id",,ID,2008,0.0304424,,,
,,"108. boise city, id",,ID,2009,0.05231432,,,
,,"108. boise city, id",,ID,2010,0.04483638,,,
,,"108. boise city, id",,ID,2011,0.05273224,,,
,,10900,,,2012,0.04033251,,,
,,10900,,,2013,0.0404809,,,
,,10900,,,2014,0.03420647,,,
,,10900,,,2015,0.02925046,,,
,,10900,,,2016,0.028451,,,
,,10900,,,2017,0.02260479,,,
,,11100,,,2012,0.01879405,,,
,,11100,,,2013,0.02290358,,,
,,11100,,,2014,0.01674455,,,
,,11100,,,2015,0.01420118,,,
,,11100,,,2016,0.017585,,,
,,11100,,,2017,0.01770593,,,
,,"112. boston, ma/nh",,,1960,0.0149713,,,
,,"112. boston, ma/nh",,,1970,0.01428172,,,
,,"112. boston, ma/nh",20,,1980,0.0228442,,,
,,"112. boston, ma/nh",20,,1990,0.03284342,,,
,,"112. boston, ma/nh",20,,2000,0.02093739,,,
,,"112. boston, ma/nh",20,,2005,0.02791717,,,
,,"112. boston, ma/nh",20,,2006,0.02615669,,,
,,"112. boston, ma/nh",20,,2007,0.02522871,,,
,,"112. boston, ma/nh",20,,2008,0.0261772,,,
,,"112. boston, ma/nh",20,,2009,0.04189222,,,
,,"112. boston, ma/nh",20,,2010,0.04656698,,,
,,"112. boston, ma/nh",20,,2011,0.04287911,,,
,,"114. bradenton, fl",,FL,1980,0.01811681,,,
,,"114. bradenton, fl",,FL,1990,0.01873823,,,
,,11460,,,2012,0.03689899,,,
,,11460,,,2013,0.0319747,,,
,,11460,,,2014,0.02888482,,,
,,11460,,,2015,0.02314647,,,
,,11460,,,2016,0.02037104,,,
,,11460,,,2017,0.02143623,,,
,,"115. bremerton, wa",,WA,1980,0.03169477,,,
,,"115. bremerton, wa",,WA,1990,0.02577145,,,
,,"115. bremerton, wa",,WA,2000,0.02833455,,,
,,"115. bremerton, wa",,WA,2005,0.0310531,,,
,,"115. bremerton, wa",,WA,2006,0.03594772,,,
,,"115. bremerton, wa",,WA,2007,0.02968036,,,
,,"115. bremerton, wa",,WA,2008,0.02595078,,,
,,"115. bremerton, wa",,WA,2009,0.03759398,,,
,,"115. bremerton, wa",,WA,2010,0.04937202,,,
,,"115. bremerton, wa",,WA,2011,0.04413519,,,
,,11500,,,2012,0.06332703,,,
,,11500,,,2013,0.05630866,,,
,,11500,,,2014,0.02890173,,,
,,11500,,,2015,0.05025641,,,
,,11500,,,2016,0.04133858,,,
,,11500,,,2017,0.0278607,,,
,,"116. bridgeport, ct",,CT,1960,0.02647939,,,
,,"116. bridgeport, ct",,CT,1970,0.0154012,,,
,,"116. bridgeport, ct",,CT,1980,0.02321097,,,
,,"116. bridgeport, ct",,CT,1990,0.03450015,,,
,,"116. bridgeport, ct",,CT,2000,0.03235128,,,
,,"116. bridgeport, ct",,CT,2005,0.02622951,,,
,,"116. bridgeport, ct",,CT,2006,0.02643336,,,
,,"116. bridgeport, ct",,CT,2007,0.03123838,,,
,,"116. bridgeport, ct",,CT,2008,0.0403286,,,
,,"116. bridgeport, ct",,CT,2009,0.04467477,,,
,,"116. bridgeport, ct",,CT,2010,0.05474582,,,
,,"116. bridgeport, ct",,CT,2011,0.05319149,,,
,,11700,,,2012,0.03786342,,,
,,11700,,,2013,0.03059867,,,
,,11700,,,2014,0.02303433,,,
,,11700,,,2015,0.02089749,,,
,,11700,,,2016,0.01626193,,,
,,11700,,,2017,0.01706632,,,
,,"12. albany, ga",,GA,1980,0.0341271,,,
,,"12. albany, ga",,GA,2000,0.03851115,,,
,,"12. albany, ga",,GA,2005,0.04779412,,,
,,"12. albany, ga",,GA,2006,0.03751066,,,
,,"12. albany, ga",,GA,2007,0.04026218,,,
,,"12. albany, ga",,GA,2008,0.02917046,,,
,,"12. albany, ga",,GA,2009,0.05514404,,,
,,"12. albany, ga",,GA,2010,0.05760368,,,
,,"12. albany, ga",,GA,2011,0.0615894,,,
,,"120. brockton, ma",,MA,1960,0.01830239,,,
,,"120. brockton, ma",,MA,1970,0.0128163,,,
,,"120. brockton, ma",,MA,1980,0.04025157,,,
,,"120. brockton, ma",,MA,1990,0.04581098,,,
,,"120. brockton, ma",,MA,2000,0.02282429,,,
,,"120. brockton, ma",,MA,2005,0.03169499,,,
,,"120. brockton, ma",,MA,2006,0.03216495,,,
,,"120. brockton, ma",,MA,2007,0.03884766,,,
,,"120. brockton, ma",,MA,2008,0.03513971,,,
,,"120. brockton, ma",,MA,2009,0.0502693,,,
,,"120. brockton, ma",,MA,2010,0.05280393,,,
,,"120. brockton, ma",,MA,2011,0.0481671,,,
,,12060,35,,2012,0.05080548,,,
,,12060,35,,2013,0.0448285,,,
,,12060,35,,2014,0.03687337,,,
,,12060,35,,2015,0.03232153,,,
,,12060,35,,2016,0.02625082,,,
,,12060,35,,2017,0.02463558,,,
,,12100,,,2012,0.06046932,,,
,,12100,,,2013,0.05508284,,,
,,12100,,,2014,0.05560459,,,
,,12100,,,2015,0.05485232,,,
,,12100,,,2016,0.04287826,,,
,,12100,,,2017,0.04031857,,,
,,12220,,,2012,0.03663366,,,
,,12220,,,2013,0.03259828,,,
,,12220,,,2014,0.02509652,,,
,,12220,,,2015,0.02995595,,,
,,12220,,,2016,0.0242483,,,
,,12220,,,2017,0.02245089,,,
,,12260,,,2012,0.04214223,,,
,,12260,,,2013,0.04323476,,,
,,12260,,,2014,0.0379036,,,
,,12260,,,2015,0.03048644,,,
,,12260,,,2016,0.02945206,,,
,,12260,,,2017,0.02905904,,,
,,"124. brownsville-harlingen-san benito, tx",,TX,1960,0.0228232,,,
,,"124. brownsville-harlingen-san benito, tx",,TX,1980,0.02389651,,,
,,"124. brownsville-harlingen-san benito, tx",,TX,1990,0.0404112,,,
,,"124. brownsville-harlingen-san benito, tx",,TX,2000,0.0369714,,,
,,"124. brownsville-harlingen-san benito, tx",,TX,2003,0.03501401,,,
,,"124. brownsville-harlingen-san benito, tx",,TX,2005,0.03306092,,,
,,"124. brownsville-harlingen-san benito, tx",,TX,2006,0.02623068,,,
,,"124. brownsville-harlingen-san benito, tx",,TX,2007,0.02259475,,,
,,"124. brownsville-harlingen-san benito, tx",,TX,2008,0.01916443,,,
,,"124. brownsville-harlingen-san benito, tx",,TX,2009,0.02624863,,,
,,"124. brownsville-harlingen-san benito, tx",,TX,2010,0.03594536,,,
,,"124. brownsville-harlingen-san benito, tx",,TX,2011,0.04177622,,,
,,12420,11,,2012,0.03561978,,,
,,12420,11,,2013,0.0303185,,,
,,12420,11,,2014,0.02468903,,,
,,12420,11,,2015,0.02063325,,,
,,12420,11,,2016,0.02216585,,,
,,12420,11,,2017,0.0180207,,,
,,12540,48,,2012,0.0467102,,,
,,12540,48,,2013,0.0411825,,,
,,12540,48,,2014,0.03981027,,,
,,12540,48,,2015,0.03850976,,,
,,12540,48,,2016,0.04005647,,,
,,12540,48,,2017,0.03549592,,,
,,12580,29,,2012,0.04175814,,,
,,12580,29,,2013,0.03354789,,,
,,12580,29,,2014,0.03220051,,,
,,12580,29,,2015,0.02708129,,,
,,12580,29,,2016,0.02539993,,,
,,12580,29,,2017,0.02311168,,,
,,"126. bryan-college station, tx",,TX,1990,0.02782258,,,
,,"126. bryan-college station, tx",,TX,2000,0.05890909,,,
,,"126. bryan-college station, tx",,TX,2005,0.04054054,,,
,,"126. bryan-college station, tx",,TX,2006,0.03145161,,,
,,"126. bryan-college station, tx",,TX,2007,0.0152488,,,
,,"126. bryan-college station, tx",,TX,2008,0.02503682,,,
,,"126. bryan-college station, tx",,TX,2009,0.03905724,,,
,,"126. bryan-college station, tx",,TX,2010,0.03432343,,,
,,"126. bryan-college station, tx",,TX,2011,0.04205946,,,
,,12620,,,2012,0.04269513,,,
,,12620,,,2013,0.04112272,,,
,,12620,,,2014,0.02711864,,,
,,12620,,,2015,0.0253741,,,
,,12620,,,2016,0.02474227,,,
,,12620,,,2017,0.02838284,,,
,,12700,,,2012,0.04489292,,,
,,12700,,,2013,0.03620309,,,
,,12700,,,2014,0.02564102,,,
,,12700,,,2015,0.02323652,,,
,,12700,,,2016,0.02381984,,,
,,12700,,,2017,0.01917585,,,
,,"128. buffalo-niagara falls, ny",,NY,1960,0.02552794,,,
,,"128. buffalo-niagara falls, ny",,NY,1970,0.01733767,,,
,,"128. buffalo-niagara falls, ny",,NY,1980,0.04407378,,,
,,"128. buffalo-niagara falls, ny",,NY,1990,0.03232622,,,
,,"128. buffalo-niagara falls, ny",,NY,2000,0.03282759,,,
,,"128. buffalo-niagara falls, ny",,NY,2003,0.0367013,,,
,,"128. buffalo-niagara falls, ny",,NY,2005,0.03621942,,,
,,"128. buffalo-niagara falls, ny",,NY,2006,0.02879153,,,
,,"128. buffalo-niagara falls, ny",,NY,2007,0.02872038,,,
,,"128. buffalo-niagara falls, ny",,NY,2008,0.02882112,,,
,,"128. buffalo-niagara falls, ny",,NY,2009,0.04095294,,,
,,"128. buffalo-niagara falls, ny",,NY,2010,0.04644996,,,
,,"128. buffalo-niagara falls, ny",,NY,2011,0.04005792,,,
,,12940,,,2012,0.03648584,,,
,,12940,,,2013,0.03335492,,,
,,12940,,,2014,0.02528809,,,
,,12940,,,2015,0.03272787,,,
,,12940,,,2016,0.02654124,,,
,,12940,,,2017,0.03103273,,,
,,"130. burlington, nc",,NC,1990,0.01571429,,,
,,"131. burlington, vt",,VT,1980,0.02631579,,,
,,13140,,,2012,0.04433368,,,
,,13140,,,2013,0.0335065,,,
,,13140,,,2014,0.03135982,,,
,,13140,,,2015,0.02597048,,,
,,13140,,,2016,0.02288392,,,
,,13140,,,2017,0.0254048,,,
,,"132. canton, oh",,OH,1960,0.02344257,,,
,,"132. canton, oh",,OH,1970,0.01734104,,,
,,"132. canton, oh",,OH,1980,0.03490705,,,
,,"132. canton, oh",,OH,1990,0.0330491,,,
,,"132. canton, oh",,OH,2000,0.02282776,,,
,,"132. canton, oh",,OH,2003,0.03596698,,,
,,"132. canton, oh",,OH,2005,0.0339929,,,
,,"132. canton, oh",,OH,2006,0.02880556,,,
,,"132. canton, oh",,OH,2007,0.03180817,,,
,,"132. canton, oh",,OH,2008,0.02973513,,,
,,"132. canton, oh",,OH,2009,0.0526834,,,
,,"132. canton, oh",,OH,2010,0.05173745,,,
,,"132. canton, oh",,OH,2011,0.04296136,,,
,,13380,,,2012,0.04339378,,,
,,13380,,,2013,0.04118051,,,
,,13380,,,2014,0.03323077,,,
,,13380,,,2015,0.03088326,,,
,,13380,,,2016,0.03810694,,,
,,13380,,,2017,0.03321878,,,
,,13460,,,2012,0.05928854,,,
,,13460,,,2013,0.0273327,,,
,,13460,,,2014,0.02423698,,,
,,13460,,,2015,0.02586207,,,
,,13460,,,2016,0.024618,,,
,,13460,,,2017,0.01819686,,,
,,"136. cedar rapids, ia",,IA,1960,0.00887257,,,
,,"136. cedar rapids, ia",,IA,1980,0.02212919,,,
,,"136. cedar rapids, ia",,IA,1990,0.03153368,,,
,,"136. cedar rapids, ia",,IA,2000,0.01620403,,,
,,"136. cedar rapids, ia",,IA,2005,0.0233463,,,
,,"136. cedar rapids, ia",,IA,2006,0.02984127,,,
,,"136. cedar rapids, ia",,IA,2007,0.03233533,,,
,,"136. cedar rapids, ia",,IA,2008,0.01528117,,,
,,"136. cedar rapids, ia",,IA,2009,0.02282282,,,
,,"136. cedar rapids, ia",,IA,2010,0.0281602,,,
,,"136. cedar rapids, ia",,IA,2011,0.02393981,,,
,,13780,,,2012,0.04432133,,,
,,13780,,,2013,0.04540118,,,
,,13780,,,2014,0.0222582,,,
,,13780,,,2015,0.03049257,,,
,,13780,,,2016,0.02640777,,,
,,13780,,,2017,0.02522018,,,
,,13820,,,2012,0.03785456,,,
,,13820,,,2013,0.03651342,,,
,,13820,,,2014,0.03401568,,,
,,13820,,,2015,0.02745098,,,
,,13820,,,2016,0.02693053,,,
,,13820,,,2017,0.0260223,,,
,,13900,,,2012,0.01280788,,,
,,13900,,,2013,0.00567644,,,
,,13900,,,2014,0.01311189,,,
,,13900,,,2015,0.01332149,,,
,,13900,,,2016,0.01030043,,,
,,13900,,,2017,0.00821693,,,
,,13980,,,2012,0.03196347,,,
,,13980,,,2013,0.0224359,,,
,,13980,,,2014,0.0260631,,,
,,13980,,,2015,0.02377892,,,
,,13980,,,2016,0.02316844,,,
,,13980,,,2017,0.01715375,,,
,,"140. champaign-urbana-rantoul, il",,IL,1960,0.01192971,,,
,,"140. champaign-urbana-rantoul, il",,IL,1980,0.02440798,,,
,,"140. champaign-urbana-rantoul, il",,IL,1990,0.01972757,,,
,,"140. champaign-urbana-rantoul, il",,IL,2000,0.02719278,,,
,,"140. champaign-urbana-rantoul, il",,IL,2005,0.03229399,,,
,,"140. champaign-urbana-rantoul, il",,IL,2006,0.02291667,,,
,,"140. champaign-urbana-rantoul, il",,IL,2007,0.02659846,,,
,,"140. champaign-urbana-rantoul, il",,IL,2008,0.02210797,,,
,,"140. champaign-urbana-rantoul, il",,IL,2009,0.03657262,,,
,,"140. champaign-urbana-rantoul, il",,IL,2010,0.03465346,,,
,,"140. champaign-urbana-rantoul, il",,IL,2011,0.04878048,,,
,,14010,,,2012,0.03303965,,,
,,14010,,,2013,0.02905702,,,
,,14010,,,2014,0.02128821,,,
,,14010,,,2015,0.02179836,,,
,,14010,,,2016,0.02086766,,,
,,14010,,,2017,0.01503759,,,
,,14020,,,2012,0.04016064,,,
,,14020,,,2013,0.03171806,,,
,,14020,,,2014,0.02682701,,,
,,14020,,,2015,0.03888419,,,
,,14020,,,2016,0.01829268,,,
,,14020,,,2017,0.02609428,,,
,,14260,,,2012,0.03495056,,,
,,14260,,,2013,0.0349297,,,
,,14260,,,2014,0.02350099,,,
,,14260,,,2015,0.02397559,,,
,,14260,,,2016,0.01742377,,,
,,14260,,,2017,0.01759648,,,
,,"144. charleston-n. charleston, sc",,SC,1960,0.01653536,,,
,,"144. charleston-n. charleston, sc",,SC,1970,0.0101257,,,
,,"144. charleston-n. charleston, sc",,SC,1980,0.03058362,,,
,,"144. charleston-n. charleston, sc",,SC,1990,0.02279216,,,
,,"144. charleston-n. charleston, sc",,SC,2000,0.02675328,,,
,,"144. charleston-n. charleston, sc",,SC,2005,0.02825782,,,
,,"144. charleston-n. charleston, sc",,SC,2006,0.02586585,,,
,,"144. charleston-n. charleston, sc",,SC,2007,0.02423838,,,
,,"144. charleston-n. charleston, sc",,SC,2008,0.03244317,,,
,,"144. charleston-n. charleston, sc",,SC,2009,0.04724742,,,
,,"144. charleston-n. charleston, sc",,SC,2010,0.05160362,,,
,,"144. charleston-n. charleston, sc",,SC,2011,0.05021008,,,
,,14460,20,,2012,0.03783684,,,
,,14460,20,,2013,0.03515312,,,
,,14460,20,,2014,0.0296864,,,
,,14460,20,,2015,0.02519693,,,
,,14460,20,,2016,0.02514843,,,
,,14460,20,,2017,0.02182519,,,
,,14740,,,2012,0.04168404,,,
,,14740,,,2013,0.03064833,,,
,,14740,,,2014,0.02711994,,,
,,14740,,,2015,0.02709823,,,
,,14740,,,2016,0.02261123,,,
,,14740,,,2017,0.02133137,,,
,,"148. charleston, wv",,WV,1980,0.02766304,,,
,,14860,,,2012,0.04385848,,,
,,14860,,,2013,0.04172606,,,
,,14860,,,2014,0.03535083,,,
,,14860,,,2015,0.03258518,,,
,,14860,,,2016,0.02831953,,,
,,14860,,,2017,0.02666486,,,
,,15180,,,2012,0.04328562,,,
,,15180,,,2013,0.0401167,,,
,,15180,,,2014,0.03087296,,,
,,15180,,,2015,0.02877454,,,
,,15180,,,2016,0.02897474,,,
,,15180,,,2017,0.02112424,,,
,,"152. charlotte-gastonia-rock hill, nc/sc",,,1960,0.01208901,,,
,,"152. charlotte-gastonia-rock hill, nc/sc",,,1970,0.01098614,,,
,,"152. charlotte-gastonia-rock hill, nc/sc",15,,1980,0.02241356,,,
,,"152. charlotte-gastonia-rock hill, nc/sc",15,,1990,0.02328031,,,
,,"152. charlotte-gastonia-rock hill, nc/sc",15,,2000,0.02856622,,,
,,"152. charlotte-gastonia-rock hill, nc/sc",15,,2005,0.03564168,,,
,,"152. charlotte-gastonia-rock hill, nc/sc",15,,2006,0.03125,,,
,,"152. charlotte-gastonia-rock hill, nc/sc",15,,2007,0.03353565,,,
,,"152. charlotte-gastonia-rock hill, nc/sc",15,,2008,0.03356313,,,
,,"152. charlotte-gastonia-rock hill, nc/sc",15,,2009,0.05616488,,,
,,"152. charlotte-gastonia-rock hill, nc/sc",15,,2010,0.06381567,,,
,,"152. charlotte-gastonia-rock hill, nc/sc",15,,2011,0.05642334,,,
,,15380,,,2012,0.03777626,,,
,,15380,,,2013,0.0401751,,,
,,15380,,,2014,0.02944905,,,
,,15380,,,2015,0.02603598,,,
,,15380,,,2016,0.02108103,,,
,,15380,,,2017,0.02084141,,,
,,"154. charlottesville, va",,VA,1980,0.01370496,,,
,,"154. charlottesville, va",,VA,2000,0.01475965,,,
,,"154. charlottesville, va",,VA,2005,0.02097429,,,
,,"154. charlottesville, va",,VA,2006,0.01538462,,,
,,"154. charlottesville, va",,VA,2007,0.01246106,,,
,,"154. charlottesville, va",,VA,2008,0.01701094,,,
,,"154. charlottesville, va",,VA,2009,0.02447552,,,
,,"154. charlottesville, va",,VA,2010,0.0274056,,,
,,"154. charlottesville, va",,VA,2011,0.02838934,,,
,,15500,,,2012,0.04337768,,,
,,15500,,,2013,0.03400121,,,
,,15500,,,2014,0.0311086,,,
,,15500,,,2015,0.02801601,,,
,,15500,,,2016,0.01989247,,,
,,15500,,,2017,0.02345416,,,
,,15540,,,2012,0.03643461,,,
,,15540,,,2013,0.02714932,,,
,,15540,,,2014,0.03004005,,,
,,15540,,,2015,0.02146814,,,
,,15540,,,2016,0.01958224,,,
,,15540,,,2017,0.02143336,,,
,,"156. chattanooga, tn/ga",,,1960,0.01927647,,,
,,"156. chattanooga, tn/ga",,,1970,0.01201413,,,
,,"156. chattanooga, tn/ga",,,1980,0.03307574,,,
,,"156. chattanooga, tn/ga",,,1990,0.02720354,,,
,,"156. chattanooga, tn/ga",,,2000,0.0254881,,,
,,"156. chattanooga, tn/ga",,,2005,0.02777778,,,
,,"156. chattanooga, tn/ga",,,2006,0.03181716,,,
,,"156. chattanooga, tn/ga",,,2007,0.02834008,,,
,,"156. chattanooga, tn/ga",,,2008,0.03370298,,,
,,"156. chattanooga, tn/ga",,,2009,0.04566718,,,
,,"156. chattanooga, tn/ga",,,2010,0.05513514,,,
,,"156. chattanooga, tn/ga",,,2011,0.04706655,,,
,,"158. cheyenne, wy",,WY,2003,0.02472686,,,
,,15940,,,2012,0.04517672,,,
,,15940,,,2013,0.0375383,,,
,,15940,,,2014,0.03286624,,,
,,15940,,,2015,0.02873708,,,
,,15940,,,2016,0.0305304,,,
,,15940,,,2017,0.02261306,,,
,,15980,,,2012,0.05074992,,,
,,15980,,,2013,0.03803132,,,
,,15980,,,2014,0.02695697,,,
,,15980,,,2015,0.02354502,,,
,,15980,,,2016,0.01863885,,,
,,15980,,,2017,0.02114702,,,
,,"16. albany-schenectady-troy, ny",,NY,1960,0.02228932,,,
,,"16. albany-schenectady-troy, ny",,NY,1970,0.01304882,,,
,,"16. albany-schenectady-troy, ny",,NY,1980,0.03194806,,,
,,"16. albany-schenectady-troy, ny",,NY,1990,0.02585984,,,
,,"16. albany-schenectady-troy, ny",,NY,2000,0.03067598,,,
,,"16. albany-schenectady-troy, ny",,NY,2003,0.02651048,,,
,,"16. albany-schenectady-troy, ny",,NY,2005,0.02643464,,,
,,"16. albany-schenectady-troy, ny",,NY,2006,0.02524222,,,
,,"16. albany-schenectady-troy, ny",,NY,2007,0.0213039,,,
,,"16. albany-schenectady-troy, ny",,NY,2008,0.0242894,,,
,,"16. albany-schenectady-troy, ny",,NY,2009,0.03461143,,,
,,"16. albany-schenectady-troy, ny",,NY,2010,0.0375711,,,
,,"16. albany-schenectady-troy, ny",,NY,2011,0.03467762,,,
,,"160. chicago, il",,IL,1960,0.01618296,,,
,,"160. chicago, il",,IL,1970,0.01437233,,,
,,"160. chicago, il",3,IL,1980,0.03278055,,,
,,"160. chicago, il",3,IL,1990,0.031255,,,
,,"160. chicago, il",3,IL,2000,0.02966455,,,
,,"160. chicago, il",3,IL,2005,0.03800778,,,
,,"160. chicago, il",3,IL,2006,0.03580094,,,
,,"160. chicago, il",3,IL,2007,0.03542626,,,
,,"160. chicago, il",3,IL,2008,0.0337664,,,
,,"160. chicago, il",3,IL,2009,0.05263076,,,
,,"160. chicago, il",3,IL,2010,0.05912688,,,
,,"160. chicago, il",3,IL,2011,0.0586466,,,
,,"162. chico, ca",,CA,1980,0.04128779,,,
,,"162. chico, ca",,CA,1990,0.03442362,,,
,,"162. chico, ca",,CA,2000,0.03752006,,,
,,"162. chico, ca",,CA,2003,0.05167598,,,
,,"162. chico, ca",,CA,2005,0.03375527,,,
,,"162. chico, ca",,CA,2006,0.02985074,,,
,,"162. chico, ca",,CA,2007,0.04370798,,,
,,"162. chico, ca",,CA,2008,0.0473911,,,
,,"162. chico, ca",,CA,2009,0.05606573,,,
,,"162. chico, ca",,CA,2010,0.0670103,,,
,,"162. chico, ca",,CA,2011,0.0764557,,,
,,"164. cincinnati-hamilton, oh/ky/in",,,1960,0.018147,,,
,,"164. cincinnati-hamilton, oh/ky/in",,,1970,0.01274864,,,
,,"164. cincinnati-hamilton, oh/ky/in",,,1980,0.03145874,,,
,,"164. cincinnati-hamilton, oh/ky/in",,,1990,0.02486656,,,
,,"164. cincinnati-hamilton, oh/ky/in",,,2000,0.02185784,,,
,,"164. cincinnati-hamilton, oh/ky/in",,,2005,0.03142195,,,
,,"164. cincinnati-hamilton, oh/ky/in",,,2006,0.03053982,,,
,,"164. cincinnati-hamilton, oh/ky/in",,,2007,0.02742178,,,
,,"164. cincinnati-hamilton, oh/ky/in",,,2008,0.02937192,,,
,,"164. cincinnati-hamilton, oh/ky/in",,,2009,0.04440813,,,
,,"164. cincinnati-hamilton, oh/ky/in",,,2010,0.04882276,,,
,,"164. cincinnati-hamilton, oh/ky/in",,,2011,0.0455655,,,
,,16580,,,2012,0.03739377,,,
,,16580,,,2013,0.02691066,,,
,,16580,,,2014,0.0228359,,,
,,16580,,,2015,0.01618304,,,
,,16580,,,2016,0.01722282,,,
,,16580,,,2017,0.02120891,,,
,,"166. clarksville- hopkinsville, tn/ky",,,1980,0.03347578,,,
,,"166. clarksville- hopkinsville, tn/ky",,,1990,0.03407783,,,
,,"166. clarksville- hopkinsville, tn/ky",,,2000,0.02871776,,,
,,"166. clarksville- hopkinsville, tn/ky",,,2005,0.0240124,,,
,,"166. clarksville- hopkinsville, tn/ky",,,2006,0.03164557,,,
,,"166. clarksville- hopkinsville, tn/ky",,,2007,0.03712122,,,
,,"166. clarksville- hopkinsville, tn/ky",,,2008,0.0293896,,,
,,"166. clarksville- hopkinsville, tn/ky",,,2009,0.03816794,,,
,,"166. clarksville- hopkinsville, tn/ky",,,2010,0.046495,,,
,,"166. clarksville- hopkinsville, tn/ky",,,2011,0.05501618,,,
,,16620,,,2012,0.03392484,,,
