fips,cbsa,metarea,metareano,state_fips,year,permits_total_pc,permits_mf_pc,permits_sf_pc,housing_stock_growth,real_house_price_index,real_rent_index,price_to_income,housing_demand_shifter
,,"100. birmingham, al",,AL,1960,,,,,,0.37243795,,
,,"100. birmingham, al",,AL,1970,,,,,,0.31755078,,
,,"100. birmingham, al",,AL,1980,,,,,,0.28879675,,
,,"100. birmingham, al",,AL,1990,,,,-1.0,,0.25515646,,-1.0
,,"100. birmingham, al",,AL,2000,,,,,,0.24894036,,
,,"100. birmingham, al",,AL,2005,,,,,,0.20757344,,
,,"100. birmingham, al",,AL,2006,,,,,,0.20779759,,
,,"100. birmingham, al",,AL,2007,,,,,,0.19862552,,
,,"100. birmingham, al",,AL,2008,,,,,,0.19771811,,
,,"100. birmingham, al",,AL,2009,,,,,,0.22237325,,
,,"100. birmingham, al",,AL,2010,,,,,,0.2290108,,
,,"100. birmingham, al",,AL,2011,,,,,,0.24739055,,
,,101,,,2003,,,,,,0.18157545,,
,,"102. bloomington, in",,IN,1990,,,,,,0.36360964,,
,,"102. bloomington, in",,IN,2000,,,,,,0.380531,,
,,"102. bloomington, in",,IN,2005,,,,,,0.30076838,,
,,"102. bloomington, in",,IN,2006,,,,,,0.32150775,,
,,"102. bloomington, in",,IN,2007,,,,,,0.3366633,,
,,"102. bloomington, in",,IN,2008,,,,,,0.32889345,,
,,"102. bloomington, in",,IN,2009,,,,,,0.33557692,,
,,"102. bloomington, in",,IN,2010,,,,,,0.35546875,,
,,"102. bloomington, in",,IN,2011,,,,,,0.33126935,,
,,"104. bloomington-normal, il",,IL,1980,,,,,,0.2946654,,
,,"104. bloomington-normal, il",,IL,1990,,,,,,0.26348162,,
,,"104. bloomington-normal, il",,IL,2000,,,,,,0.23486078,,
,,"104. bloomington-normal, il",,IL,2005,,,,,,0.181764,,
,,"104. bloomington-normal, il",,IL,2006,,,,,,0.19919632,,
,,"104. bloomington-normal, il",,IL,2007,,,,,,0.1669627,,
,,"104. bloomington-normal, il",,IL,2008,,,,,,0.19720767,,
,,"104. bloomington-normal, il",,IL,2009,,,,,,0.20496535,,
,,"104. bloomington-normal, il",,IL,2010,,,,,,0.19224088,,
,,"104. bloomington-normal, il",,IL,2011,,,,,,0.21160407,,
,,10420,,,2012,,,,,,0.2488384,,
,,10420,,,2013,,,,-0.01587802,,0.2536933,,-0.01587802
,,10420,,,2014,,,,0.00228657,,0.2568727,,0.00228657
,,10420,,,2015,,,,-0.03922154,,0.24843533,,-0.03922154
,,10420,,,2016,,,,0.01110427,,0.24126768,,0.01110427
,,10420,,,2017,,,,0.01044733,,0.23837802,,0.01044733
,,10580,,,2012,,,,,,0.24871546,,
,,10580,,,2013,,,,0.05326704,,0.24256198,,0.05326704
,,10580,,,2014,,,,0.01295887,,0.2361402,,0.01295887
,,10580,,,2015,,,,0.02263736,,0.24128194,,0.02263736
,,10580,,,2016,,,,-0.03382347,,0.24607912,,-0.03382347
,,10580,,,2017,,,,-0.05574114,,0.24110346,,-0.05574114
,,10740,31,,2012,0.03190088,,,,,0.24365872,,
,,10740,31,,2013,0.03689252,,,,,0.2578713,,
,,10740,31,,2014,0.05391983,,,,,0.2435612,,
,,10740,31,,2015,,,,,,0.25286984,,
,,10740,31,,2016,,,,,,0.2501548,,
,,10740,31,,2017,,,,,,0.24130332,,
,,"108. boise city, id",,ID,1980,,,,,,0.23141414,,
,,"108. boise city, id",,ID,1990,,,,,,0.24906337,,
,,"108. boise city, id",,ID,2000,,,,inf,,0.24378312,,inf
,,"108. boise city, id",,ID,2005,,,,-0.11039675,,0.19200192,,-0.11039675
,,"108. boise city, id",,ID,2006,,,,0.00582376,,0.19947694,,0.00582376
,,"108. boise city, id",,ID,2007,,,,-0.0321452,,0.19972359,,-0.0321452
,,"108. boise city, id",,ID,2008,,,,0.04567343,,0.2153985,,0.04567343
,,"108. boise city, id",,ID,2009,,,,-0.03013776,,0.23869681,,-0.03013776
,,"108. boise city, id",,ID,2010,,,,0.03392824,,0.24326088,,0.03392824
,,"108. boise city, id",,ID,2011,,,,0.11362758,,0.27667528,,0.11362758
,,10900,,,2012,,,,,,0.2005277,,
,,10900,,,2013,,,,0.0440612,,0.21518578,,0.0440612
,,10900,,,2014,,,,0.01829677,,0.2051282,,0.01829677
