fips,cbsa,metarea,metareano,state_fips,year,reform_date,event_time,treated,exposure_intensity
,,"100. birmingham, al",,AL,1940,,,0,
,,"100. birmingham, al",,AL,1944,,,0,
,,"100. birmingham, al",,AL,1945,,,0,
,,"100. birmingham, al",,AL,1946,,,0,
,,"100. birmingham, al",,AL,1947,,,0,
,,"100. birmingham, al",,AL,1948,,,0,
,,"100. birmingham, al",,AL,1949,,,0,
,,"100. birmingham, al",,AL,1950,,,0,
,,"100. birmingham, al",,AL,1951,,,0,
,,"100. birmingham, al",,AL,1952,,,0,
,,"100. birmingham, al",,AL,1953,,,0,
,,"100. birmingham, al",,AL,1954,,,0,
,,"100. birmingham, al",,AL,1955,,,0,
,,"100. birmingham, al",,AL,1956,,,0,
,,"100. birmingham, al",,AL,1957,,,0,
,,"100. birmingham, al",,AL,1958,,,0,
,,"100. birmingham, al",,AL,1959,,,0,
,,"100. birmingham, al",,AL,1960,,,0,
,,"100. birmingham, al",,AL,1961,,,0,
,,"100. birmingham, al",,AL,1962,,,0,
,,"100. birmingham, al",,AL,1963,,,0,
,,"100. birmingham, al",,AL,1964,,,0,
,,"100. birmingham, al",,AL,1965,,,0,
,,"100. birmingham, al",,AL,1966,,,0,
,,"100. birmingham, al",,AL,1967,,,0,
,,"100. birmingham, al",,AL,1968,,,0,
,,"100. birmingham, al",,AL,1969,,,0,
,,"100. birmingham, al",,AL,1970,,,0,
,,"100. birmingham, al",,AL,1971,,,0,
,,"100. birmingham, al",,AL,1972,,,0,
,,"100. birmingham, al",,AL,1973,,,0,
,,"100. birmingham, al",,AL,1974,,,0,
,,"100. birmingham, al",,AL,1975,,,0,
,,"100. birmingham, al",,AL,1976,,,0,
,,"100. birmingham, al",,AL,1977,,,0,
,,"100. birmingham, al",,AL,1978,,,0,
,,"100. birmingham, al",,AL,1979,,,0,
,,"100. birmingham, al",,AL,1980,,,0,
,,"100. birmingham, al",,AL,1981,,,0,
,,"100. birmingham, al",,AL,1982,,,0,
,,"100. birmingham, al",,AL,1983,,,0,
,,"100. birmingham, al",,AL,1984,,,0,
,,"100. birmingham, al",,AL,1985,,,0,
,,"100. birmingham, al",,AL,1986,,,0,
,,"100. birmingham, al",,AL,1987,,,0,
,,"100. birmingham, al",,AL,1988,,,0,
,,"100. birmingham, al",,AL,1989,,,0,
,,"100. birmingham, al",,AL,1990,,,0,
,,"100. birmingham, al",,AL,1991,,,0,
,,"100. birmingham, al",,AL,1992,,,0,
,,"100. birmingham, al",,AL,1993,,,0,
,,"100. birmingham, al",,AL,1994,,,0,
,,"100. birmingham, al",,AL,1995,,,0,
,,"100. birmingham, al",,AL,1996,,,0,
,,"100. birmingham, al",,AL,1997,,,0,
,,"100. birmingham, al",,AL,1998,,,0,
,,"100. birmingham, al",,AL,1999,,,0,
,,"100. birmingham, al",,AL,2000,,,0,
,,"100. birmingham, al",,AL,2001,,,0,
,,"100. birmingham, al",,AL,2002,,,0,
,,"100. birmingham, al",,AL,2003,,,0,
,,"100. birmingham, al",,AL,2004,,,0,
,,"100. birmingham, al",,AL,2005,,,0,
,,"100. birmingham, al",,AL,2006,,,0,
,,"100. birmingham, al",,AL,2007,,,0,
,,"100. birmingham, al",,AL,2008,,,0,
,,"100. birmingham, al",,AL,2009,,,0,
,,"100. birmingham, al",,AL,2010,,,0,
,,"100. birmingham, al",,AL,2011,,,0,
,,"100. birmingham, al",,AL,2012,,,0,
,,"100. birmingham, al",,AL,2013,,,0,
,,"100. birmingham, al",,AL,2014,,,0,
,,101,,,1940,,,0,
,,101,,,1944,,,0,
,,101,,,1945,,,0,
,,101,,,1946,,,0,
,,101,,,1947,,,0,
,,101,,,1948,,,0,
,,101,,,1949,,,0,
,,101,,,1950,,,0,
,,101,,,1951,,,0,
,,101,,,1952,,,0,
,,101,,,1953,,,0,
,,101,,,1954,,,0,
,,101,,,1955,,,0,
,,101,,,1956,,,0,
,,101,,,1957,,,0,
,,101,,,1958,,,0,
,,101,,,1959,,,0,
,,101,,,1960,,,0,
,,101,,,1961,,,0,
,,101,,,1962,,,0,
,,101,,,1963,,,0,
,,101,,,1964,,,0,
,,101,,,1965,,,0,
,,101,,,1966,,,0,
,,101,,,1967,,,0,
,,101,,,1968,,,0,
,,101,,,1969,,,0,
,,101,,,1970,,,0,
,,101,,,1971,,,0,
,,101,,,1972,,,0,
,,101,,,1973,,,0,
,,101,,,1974,,,0,
,,101,,,1975,,,0,
,,101,,,1976,,,0,
,,101,,,1977,,,0,
,,101,,,1978,,,0,
,,101,,,1979,,,0,
,,101,,,1980,,,0,
,,101,,,1981,,,0,
,,101,,,1982,,,0,
,,101,,,1983,,,0,
,,101,,,1984,,,0,
,,101,,,1985,,,0,
,,101,,,1986,,,0,
,,101,,,1987,,,0,
,,101,,,1988,,,0,
,,101,,,1989,,,0,
,,101,,,1990,,,0,
,,101,,,1991,,,0,
,,101,,,1992,,,0,
,,101,,,1993,,,0,
,,101,,,1994,,,0,
,,101,,,1995,,,0,
