fips,cbsa,metarea,metareano,state_fips,year,female_pop_15_44,native_female_pop_15_44,foreign_born_female_pop_15_44,foreign_born_share_15_44,net_migration_rate,international_migration_rate
01001,33860,"Autauga County, AL",33860,01,2010,960713,,,,0.00312306,0.00043832
01001,33860,"Autauga County, AL",33860,01,2011,958918,,,,0.00597739,7.245e-05
01001,33860,"Autauga County, AL",33860,01,2012,959925,,,,-0.00613441,-0.00025484
01001,33860,"Autauga County, AL",33860,01,2013,961219,,,,-0.00389304,0.00020105
01001,33860,"Autauga County, AL",33860,01,2014,959966,,,,0.00196807,0.00012756
01001,33860,"Autauga County, AL",33860,01,2015,956885,,,,-0.00186002,9.118e-05
01001,33860,"Autauga County, AL",33860,01,2016,953004,,,,0.00523153,0.00041635
01001,33860,"Autauga County, AL",33860,01,2017,950234,,,,0.00102808,-3.607e-05
01001,33860,"Autauga County, AL",33860,01,2018,948768,,,,0.00062949,-3.597e-05
01003,19300,"Baldwin County, AL",19300,01,2010,960713,,,,0.00445631,0.0001966
01003,19300,"Baldwin County, AL",19300,01,2011,958918,,,,0.01619492,0.0009435
01003,19300,"Baldwin County, AL",19300,01,2012,959925,,,,0.01747106,0.00126747
01003,19300,"Baldwin County, AL",19300,01,2013,961219,,,,0.02259783,0.00105703
01003,19300,"Baldwin County, AL",19300,01,2014,959966,,,,0.02002119,0.00056228
01003,19300,"Baldwin County, AL",19300,01,2015,956885,,,,0.01776398,0.00086702
01003,19300,"Baldwin County, AL",19300,01,2016,953004,,,,0.02124095,0.00106879
01003,19300,"Baldwin County, AL",19300,01,2017,950234,,,,0.02227459,0.00053147
01003,19300,"Baldwin County, AL",19300,01,2018,948768,,,,0.02453881,0.00054123
01005,21640,"Barbour County, AL",21640,01,2010,960713,,,,-0.00256129,-3.659e-05
01005,21640,"Barbour County, AL",21640,01,2011,958918,,,,0.00025594,-0.00014625
01005,21640,"Barbour County, AL",21640,01,2012,959925,,,,-0.00680798,-0.0004048
01005,21640,"Barbour County, AL",21640,01,2013,961219,,,,-0.00812797,-0.00037114
01005,21640,"Barbour County, AL",21640,01,2014,959966,,,,-0.00511996,0.00014949
01005,21640,"Barbour County, AL",21640,01,2015,956885,,,,-0.01566897,0.00057047
01005,21640,"Barbour County, AL",21640,01,2016,953004,,,,-0.01831984,0.00077462
01005,21640,"Barbour County, AL",21640,01,2017,950234,,,,-0.02535973,0.00047699
01005,21640,"Barbour County, AL",21640,01,2018,948768,,,,-0.00864113,0.0004823
01007,13820,"Bibb County, AL",13820,01,2010,960713,,,,-0.00257957,0.0
01007,13820,"Bibb County, AL",13820,01,2011,958918,,,,-0.00505561,0.00043962
01007,13820,"Bibb County, AL",13820,01,2012,959925,,,,-0.00379456,0.00088246
01007,13820,"Bibb County, AL",13820,01,2013,961219,,,,-0.00568485,0.00088826
01007,13820,"Bibb County, AL",13820,01,2014,959966,,,,0.00106473,0.00062109
01007,13820,"Bibb County, AL",13820,01,2015,956885,,,,0.00150696,0.00048755
01007,13820,"Bibb County, AL",13820,01,2016,953004,,,,-0.00075301,0.00070872
01007,13820,"Bibb County, AL",13820,01,2017,950234,,,,-0.00314786,0.00044336
01007,13820,"Bibb County, AL",13820,01,2018,948768,,,,-0.00660714,0.00044643
01009,13820,"Blount County, AL",13820,01,2010,960713,,,,0.00012201,-3.486e-05
01009,13820,"Blount County, AL",13820,01,2011,958918,,,,0.00024325,-0.00022587
01009,13820,"Blount County, AL",13820,01,2012,959925,,,,-0.00163279,8.685e-05
01009,13820,"Blount County, AL",13820,01,2013,961219,,,,-0.00029508,0.00081582
01009,13820,"Blount County, AL",13820,01,2014,959966,,,,-0.00198188,0.00074755
01009,13820,"Blount County, AL",13820,01,2015,956885,,,,-0.00128646,0.00027815
01009,13820,"Blount County, AL",13820,01,2016,953004,,,,-0.00102578,0.00073022
01009,13820,"Blount County, AL",13820,01,2017,950234,,,,0.00634652,0.00013834
01009,13820,"Blount County, AL",13820,01,2018,948768,,,,-3.458e-05,0.00013831
01015,11500,"Calhoun County, AL",11500,01,2010,960713,,,,-0.00097909,-3.376e-05
01015,11500,"Calhoun County, AL",11500,01,2011,958918,,,,-0.00632444,0.0002377
01015,11500,"Calhoun County, AL",11500,01,2012,959925,,,,-0.00454557,0.00059698
01015,11500,"Calhoun County, AL",11500,01,2013,961219,,,,-0.00523421,0.00039471
01015,11500,"Calhoun County, AL",11500,01,2014,959966,,,,-0.00400879,0.00058623
01015,11500,"Calhoun County, AL",11500,01,2015,956885,,,,-0.00331498,0.00047604
01015,11500,"Calhoun County, AL",11500,01,2016,953004,,,,-0.00372116,0.00065207
01015,11500,"Calhoun County, AL",11500,01,2017,950234,,,,-0.00184016,0.00040989
01015,11500,"Calhoun County, AL",11500,01,2018,948768,,,,-0.00159262,0.0006213
01017,46740,"Chambers County, AL",46740,01,2010,960713,,,,-0.00140672,0.00017584
01017,46740,"Chambers County, AL",46740,01,2011,958918,,,,-0.00143991,0.00079342
01017,46740,"Chambers County, AL",46740,01,2012,959925,,,,0.00454492,0.00090898
01017,46740,"Chambers County, AL",46740,01,2013,961219,,,,0.00254811,0.00084937
01017,46740,"Chambers County, AL",46740,01,2014,959966,,,,-0.00379635,0.00085344
01017,46740,"Chambers County, AL",46740,01,2015,956885,,,,0.00158791,0.00067633
01017,46740,"Chambers County, AL",46740,01,2016,953004,,,,-0.00541885,0.00076989
01017,46740,"Chambers County, AL",46740,01,2017,950234,,,,0.00254754,0.00059245
01017,46740,"Chambers County, AL",46740,01,2018,948768,,,,-0.00113045,0.00059497
01021,13820,"Chilton County, AL",13820,01,2010,960713,,,,0.00105376,-2.291e-05
01021,13820,"Chilton County, AL",13820,01,2011,958918,,,,-0.00123607,0.00070959
01021,13820,"Chilton County, AL",13820,01,2012,959925,,,,-0.00392364,-6.884e-05
01021,13820,"Chilton County, AL",13820,01,2013,961219,,,,0.00043544,0.00034377
01021,13820,"Chilton County, AL",13820,01,2014,959966,,,,0.00068542,0.0003884
01021,13820,"Chilton County, AL",13820,01,2015,956885,,,,-0.0017842,0.00093785
01021,13820,"Chilton County, AL",13820,01,2016,953004,,,,0.00284764,0.00179971
01021,13820,"Chilton County, AL",13820,01,2017,950234,,,,0.0043974,0.00058934
01021,13820,"Chilton County, AL",13820,01,2018,948768,,,,0.00043032,0.00056621
01031,21460,"Coffee County, AL",21460,01,2010,960713,,,,0.00312718,0.00079673
01031,21460,"Coffee County, AL",21460,01,2011,958918,,,,0.00122931,0.00156637
01031,21460,"Coffee County, AL",21460,01,2012,959925,,,,0.01102941,0.00408714
01031,21460,"Coffee County, AL",21460,01,2013,961219,,,,-0.01118851,0.00211141
01031,21460,"Coffee County, AL",21460,01,2014,959966,,,,-0.00345474,0.00108578
01031,21460,"Coffee County, AL",21460,01,2015,956885,,,,0.00425891,0.00164861
01031,21460,"Coffee County, AL",21460,01,2016,953004,,,,0.00091896,0.00101672
01031,21460,"Coffee County, AL",21460,01,2017,950234,,,,0.00927053,0.00048284
01031,21460,"Coffee County, AL",21460,01,2018,948768,,,,0.00044308,0.00034676
01033,22520,"Colbert County, AL",22520,01,2010,960713,,,,0.00121045,0.00012838
01033,22520,"Colbert County, AL",22520,01,2011,958918,,,,0.00157697,0.00055011
01033,22520,"Colbert County, AL",22520,01,2012,959925,,,,0.00166752,0.00021989
01033,22520,"Colbert County, AL",22520,01,2013,961219,,,,0.00185209,9.169e-05
01033,22520,"Colbert County, AL",22520,01,2014,959966,,,,0.00123008,5.508e-05
01033,22520,"Colbert County, AL",22520,01,2015,956885,,,,0.00091962,0.00012875
01033,22520,"Colbert County, AL",22520,01,2016,953004,,,,0.00123237,0.00023912
01033,22520,"Colbert County, AL",22520,01,2017,950234,,,,0.00440294,5.504e-05
01033,22520,"Colbert County, AL",22520,01,2018,948768,,,,0.00598955,7.304e-05
01037,45180,"Coosa County, AL",45180,01,2010,960713,,,,0.00127313,-8.488e-05
01037,45180,"Coosa County, AL",45180,01,2011,958918,,,,-0.0202838,8.705e-05
01037,45180,"Coosa County, AL",45180,01,2012,959925,,,,-0.00925355,-0.00026439
01037,45180,"Coosa County, AL",45180,01,2013,961219,,,,-0.00382018,0.00035537
01037,45180,"Coosa County, AL",45180,01,2014,959966,,,,-0.01839101,0.00027179
01037,45180,"Coosa County, AL",45180,01,2015,956885,,,,-0.00530261,0.00137137
01037,45180,"Coosa County, AL",45180,01,2016,953004,,,,-0.00406429,0.00175503
01037,45180,"Coosa County, AL",45180,01,2017,950234,,,,-0.00232407,0.00120852
01037,45180,"Coosa County, AL",45180,01,2018,948768,,,,-0.00083994,0.00130658
01043,18980,"Cullman County, AL",18980,01,2010,960713,,,,0.00048475,-2.486e-05
01043,18980,"Cullman County, AL",18980,01,2011,958918,,,,-0.00162933,0.00027363
01043,18980,"Cullman County, AL",18980,01,2012,959925,,,,-0.0009094,0.00024915
01043,18980,"Cullman County, AL",18980,01,2013,961219,,,,0.00529199,0.00045856
01043,18980,"Cullman County, AL",18980,01,2014,959966,,,,0.0040337,0.00051809
01043,18980,"Cullman County, AL",18980,01,2015,956885,,,,0.00797417,0.00051367
01043,18980,"Cullman County, AL",18980,01,2016,953004,,,,0.00800427,0.0007883
01043,18980,"Cullman County, AL",18980,01,2017,950234,,,,0.00560143,0.00035009
01043,18980,"Cullman County, AL",18980,01,2018,948768,,,,0.0080535,0.00034755
01045,37120,"Dale County, AL",37120,01,2010,960713,,,,0.00089303,0.00091288
01045,37120,"Dale County, AL",37120,01,2011,958918,,,,-0.01011734,0.00113745
01045,37120,"Dale County, AL",37120,01,2012,959925,,,,-0.00151142,0.00332114
01045,37120,"Dale County, AL",37120,01,2013,961219,,,,-0.01360203,0.00196898
01045,37120,"Dale County, AL",37120,01,2014,959966,,,,-0.01155473,0.00119392
01045,37120,"Dale County, AL",37120,01,2015,956885,,,,-0.00348538,0.00202638
01045,37120,"Dale County, AL",37120,01,2016,953004,,,,-0.00454352,0.00125758
01045,37120,"Dale County, AL",37120,01,2017,950234,,,,-0.00239574,-0.00018273
01045,37120,"Dale County, AL",37120,01,2018,948768,,,,-0.0080889,-0.00073535
01047,42820,"Dallas County, AL",42820,01,2010,960713,,,,-0.0001368,0.0
01047,42820,"Dallas County, AL",42820,01,2011,958918,,,,-0.01516553,-0.00016183
01047,42820,"Dallas County, AL",42820,01,2012,959925,,,,-0.01287534,-7.01e-05
01047,42820,"Dallas County, AL",42820,01,2013,961219,,,,-0.01853131,-7.146e-05
01047,42820,"Dallas County, AL",42820,01,2014,959966,,,,-0.01056253,-7.218e-05
01047,42820,"Dallas County, AL",42820,01,2015,956885,,,,-0.01453062,0.00017095
01047,42820,"Dallas County, AL",42820,01,2016,953004,,,,-0.01982939,0.00019954
01047,42820,"Dallas County, AL",42820,01,2017,950234,,,,-0.02082324,5.097e-05
01047,42820,"Dallas County, AL",42820,01,2018,948768,,,,-0.02226573,5.221e-05
01049,22840,"DeKalb County, AL",22840,01,2010,960713,,,,-0.00043564,0.00015458
01049,22840,"DeKalb County, AL",22840,01,2011,958918,,,,0.0011212,0.00119128
01049,22840,"DeKalb County, AL",22840,01,2012,959925,,,,-0.00816217,0.00091631
