t,price,births,fertility_rate,young_share,old_share,theta
0,0,0.0902,0.22,0.27,0.32,0.4475
1,-0.0875665,0.0922992859037626,0.223886862548638,0.23003854207763,0.357702851709103,0.487426785226549
2,-0.186362686718178,0.0957622897322685,0.228354691285429,0.186741343804351,0.393900992934107,0.526499692070043
3,-0.298574837313161,0.0884286769555952,0.233537464976159,0.195578692575973,0.425772524177953,0.553858467873762
4,-0.417895731797935,0.0849662423314431,0.239177676657733,0.19673081447266,0.448025989261029,0.573713768164027
5,-0.551888115793123,0.0805589015263002,0.245673930152193,0.191524967389989,0.480565182849417,0.603779919455977
6,-0.701527433784959,0.0887799553187167,0.253137554108599,0.188285009970095,0.46099675846862,0.586654331126244
7,-0.897714939029994,0.0948088508891441,0.263267475942778,0.192790485846001,0.447085839364216,0.573458682550894
8,-1.15861230029626,0.0996875845389879,0.277369348586011,0.212935339884246,0.42766090823336,0.552954516427387
9,-1.53006065249248,0.104364555468497,0.298759731523029,0.214361656603366,0.436312298228285,0.560526819914951
10,-2.09071643769742,0.116788651985373,0.334210433128399,0.218978847369617,0.431574694923589,0.555570398325787
11,-3.14125980830019,0.147451976814753,0.412352888411783,0.236994149243948,0.405418985334352,0.529327964414325
12,-6,0.255845800280948,0.73042572300204,0.27100886584372,0.378721706035067,0.500198205555003
13,-6,0.22975980900055,0.730425723002041,0.362215548522345,0.323228430563934,0.436573255229189
14,-6,0.224623198099501,0.730425723002041,0.410106372170602,0.282369959062228,0.392617007330414
15,-6,0.272368710970631,0.730425723002041,0.382299951252086,0.244809688519088,0.362983726979366
16,-6,0.288083181503766,0.730425723002041,0.398383794379968,0.207211720082819,0.326732978917542
17,-6,0.283870379556381,0.730425723002041,0.425201011385323,0.18616210108876,0.303765739272085
18,-6,0.268612251241649,0.730425723002041,0.424597699751978,0.207654776053972,0.323199643485778
19,-6,0.274197866771933,0.730425723002041,0.410873631348179,0.213731775968279,0.366807553669224
20,-6,0.282081272929958,0.730425723002041,0.404621798456327,0.209190716564903,0.400578089501469
21,-6,0.278868534035307,0.730425723002041,0.417737057913399,0.200473904196258,0.429070585344035
22,-6,0.274954476383563,0.730425723002041,0.419253667275312,0.204315892606145,0.467672354290884
23,-6,0.275858088951686,0.730425723002041,0.412062868235572,0.210269587667114,0.508095796634294
24,-6,0.278670563773011,0.730425723002041,0.411553126888399,0.206928869299142,0.537389171915716
25,-6,0.278170377871995,0.730425723002041,0.414794072706405,0.204372710291436,0.570114469063567
26,-6,0.276371255290389,0.730425723002041,0.415957271683122,0.205672626351538,0.609033454026808
27,-6,0.276742010812161,0.730425723002041,0.413795771992967,0.207326537781728,0.650721233083097
28,-6,0.277710609569036,0.730425723002041,0.412989294644296,0.206806940861144,0.692120389644272
29,-6,0.277584200357247,0.730425723002041,0.414385782894202,0.205583514988163,0.701445293915251
30,-6,0.277005176043215,0.73042572300204,0.414776719369009,0.205985300204006,0.723809336502685
31,-6,0.27703043385575,0.73042572300204,0.414055190496183,0.206672249499825,0.788569224419318
32,-6,0.277398622823848,0.730425723002041,0.413766560310895,0.206456805202927,0.844951071897885
33,-6,0.277386201115837,0.730425723002041,0.414165656454779,0.206074715179748,0.900410108762665
34,-6,0.277171472700202,0.730425723002041,0.41438197706302,0.20615237164388,0.95
35,-6,0.277171233014309,0.730425723002041,0.414134083508967,0.206400593343406,0.95
36,-6,0.277294316464001,0.730425723002041,0.414004409037329,0.206361758621273,0.95
37,-6,0.277303472270737,0.730425723002041,0.414144706840687,0.206208925927032,0.95
38,-6,0.277229299659416,0.730425723002041,0.414224240397396,0.206230939466743,0.95
39,-6,0.277220642617719,0.730425723002041,0.414148962302748,0.206318069610715,0.95
40,-6,0.277264783903001,0.730425723002041,0.41409563313531,0.206310966507093,0.95
41,-6,0.277271267306682,0.730425723002041,0.414138743516555,0.206258979927384,0.95
42,-6,0.277245837313513,0.730425723002041,0.414172606889533,0.206259931857821,0.95
43,-6,0.277240674076047,0.730425723002041,0.414147888916198,0.206291718636789,0.95
44,-6,0.277255475670976,0.730425723002041,0.414127301622906,0.206292041590447,0.95
45,-6,0.277259323646908,0.730425723002041,0.414140689691472,0.206273385394253,0.95
46,-6,0.277250627253996,0.730425723002041,0.414153562696999,0.206272418312406,0.95
47,-6,0.277248000793604,0.730425723002041,0.414146303279134,0.206283273524215,0.95
48,-6,0.277253025491257,0.730425723002041,0.414138222362543,0.206284475305126,0.95
49,-6,0.277254799292775,0.730425723002041,0.414142238890132,0.206278030328672,0.95
50,-6,0.277251920214603,0.730425723002041,0.414147179862128,0.206277031000681,0.95
51,-6,0.27725072367578,0.730425723002041,0.414145021931728,0.206280827070025,0.95
52,-6,0.277252381160972,0.730425723002041,0.414142012439797,0.206281567357656,0.95
53,-6,0.277253166590841,0.730425723002041,0.414143136220474,0.206279368272749,0.95
54,-6,0.277252217174133,0.730425723002041,0.414144981903066,0.206278822402962,0.95
55,-6,0.277251710927137,0.730425723002041,0.414144397551691,0.206280099839178,0.95
56,-6,0.277252248920808,0.730425723002041,0.414143274784926,0.206280486057853,0.95
57,-6,0.277252574099955,0.730425723002041,0.414143573000203,0.206279742651318,0.95
58,-6,0.277252270332194,0.730425723002041,0.414144249756311,0.206279481772898,0.95
59,-6,0.277252063169278,0.730425723002041,0.414144105071203,0.206279910077421,0.95
60,-6,0.277252234157021,0.730425723002041,0.414143697210447,0.206280083844911,0.95
61,-6,0.277252364601976,0.730425723002041,0.414143763863526,0.206279838604262,0.95
62,-6,0.277252269224478,0.730425723002041,0.414144009194085,0.206279723851659,0.95
63,-6,0.277252187600819,0.730425723002041,0.414143980591188,0.206279864202618,0.95
64,-6,0.277252240326969,0.730425723002041,0.414143833953996,0.206279938654304,0.95
65,-6,0.27725229117733,0.730425723002041,0.414143844235436,0.206279858755436,0.95
66,-6,0.277252262230504,0.730425723002041,0.414143931548073,0.206279811072872,0.95
67,-6,0.27725223075692,0.730425723002041,0.414143929520766,0.206279856189549,0.95
68,-6,0.277252246489493,0.730425723002041,0.414143877631949,0.206279886539458,0.95
69,-6,0.277252265855517,0.730425723002041,0.414143876465214,0.206279861192855,0.95
70,-6,0.277252257421445,0.730425723002041,0.414143907182282,0.206279842022577,0.95
71,-6,0.277252245554208,0.730425723002041,0.414143909265644,0.206279856186229,0.95
72,-6,0.277252250009301,0.730425723002041,0.414143891161497,0.206279868191066,0.95
73,-6,0.277252257250246,0.730425723002041,0.414143889094284,0.206279860344957,0.95
74,-6,0.277252254939058,0.730425723002041,0.414143899731399,0.206279852872008,0.95
75,-6,0.277252250541486,0.73042572300204,0.414143901445773,0.206279857178194,0.95
76,-6,0.277252251710379,0.730425723002041,0.414143895216451,0.206279861807226,0.95
77,-6,0.277252254370417,0.73042572300204,0.414143893916298,0.206279859465615,0.95
78,-6,0.277252253799546,0.730425723002041,0.414143897549265,0.206279856614207,0.95
79,-6,0.277252252196359,0.730425723002041,0.414143898486004,0.206279857872336,0.95
